City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Sayansk,RU,54.1088,102.1648,50.83,59,46,3.8,scattered clouds
332,La Foa,NC,-21.7108,165.8276,75.87,58,0,6.26,clear sky
333,Bandarbeyla,SO,9.4942,50.8122,81.79,76,24,18.88,few clouds
334,Luderitz,NA,-26.6481,15.1594,52.07,76,0,3.02,clear sky
335,Inari,FI,68.906,27.0288,43.0,62,100,12.59,overcast clouds
336,Quellon,CL,-43.1167,-73.6167,42.8,74,100,7.58,overcast clouds
337,Lubao,PH,14.9167,120.55,85.71,67,38,0.94,scattered clouds
338,Broken Hill,AU,-31.95,141.4333,58.26,50,14,17.07,few clouds
339,Berasia,IN,23.6333,77.4333,84.51,55,0,11.18,clear sky
340,Lorengau,PG,-2.0226,147.2712,83.98,79,97,8.75,overcast clouds
341,At Taraf,SA,25.3628,49.725,82.94,32,0,1.14,clear sky
342,Mahina,PF,-17.5065,-149.489,85.77,66,20,6.91,few clouds
343,Mabaruma,GY,8.2,-59.7833,75.25,96,100,2.48,overcast clouds
